Record1,Record2,Record3,Record4 ,Label
'Fraggment an sich I (Weltentraum)' ,'005-Fragment an sich I' ,'Fragment an sich I' ,'Fragment an sich I - Weltentraum' ,0
"""Véronique Rivière - Baby, I'm a Want You"" ",'Sono come tu mi vuoi' ,"""013-Baby, I'm a Want You"" ","""Baby, I'm a Want You - Véronique Rivière"" ",2
"""Don't Dream It's Over"" ","""Don't Dream It's Over - The Best of Sixpence None the Richer"" ",'Lo que cuenta' ,"""Sixpence-None-the-Richer---Don't-Dream-It's-Over"" ",3
'Hard on Me - Gold' ,'007-Hard on Me' ,'Hard on Me (Gvold)' ,'Avenida' ,4
'Daytime TV' ,'Daytime TV - Out for the Weekend' ,'004-DaytimeT V' ,'Coffin Nails - Daytime TV' ,0
'001-Dil Ka Rishta' ,'Nadeem-Shravan - Dil Ka Rishta' ,"'Sail On, Sailor - The Departed' ",'Dil Ka Rishta' ,3
"""Walkin' on the Sun"" ",'001-40 Day Dream' ,"""Smash Mouth - Walkin' on the Sun"" ","""Walkin' on the Sun - Freestyle Session 3"" ",2
'012-Owner of a Lonely Heart' ,'Yes - Owner of a Lonely Heart' ,'Owner of a Lonely Heart - 100 Hits: Electric Eighties' ,'Owner of aLonely Heart' ,0
'Love Forsaken (In A Dream Full Of Charm)' ,'Ekos Quartet - Love Forsaken' ,'007-Love Forsaken' ,'Love Forsaken' ,0
I'll Get By (Della) ,"'So Fine (Old School,V olume 4)' ",'Howard Johnson - So Fine' ,'009-So Fine' ,1
'Elvis Presley - Riding the Rainbow' ,'Caught in the Middle' ,'003-Riding the Rainbow' ,'Riding the Rainbow - The Complete Elvis Presley Masters' ,2
"""Bouncin' In Rhythm"" ","""Adrian Rollini & His Tap Room Gang - Bouncin' In Rhythm"" ","""Bouncin' In Rhythm (Jazz Sound Lexicon 1935 Vol. 3)"" ",'Mauro Picotto - Underground' ,4
'Where Is the Conscience of the World (Adventures in Music 3: Pop/Rock Sampler)' ,'Where Is the Conscience of the World' ,'015-Where Is the Conscience of the World' ,'J.C. Mark - Where Is the Conscience of the World' ,0
'Spaced Out' ,'008-Spaced Out' , 'Mason Casey - Spaced Out' ,'A Deep Dive' ,4
'003-The Glass Forest' ,'The Glass Forest (Seasons)' ,'Michael Jones - The Glass Forest' ,'Night Driving' ,4
'Travel (live) (amparo fugaz)' ,'Guts Pie Earshot - Travel (live)' ,'Travel (live)' ,'001-Travel (live)' ,0
'Wat had je dan (feat. Moorder E) (El Patron)' ,'Wat had je dan (feat. Moorder E) - El Patron' ,'008-Wat had je dan (feat. Moorder E)' ,"""003-D'un trait"" ",4
'Anomia' ,'Ice Flowers - Silent Star' ,'Ice Flowers (Silent Star)' ,'Ice Flowers' ,1
Randy Wachtler - Shuffled' ,'044-Shuffled' ,"'Shuffled - Rock, Volume 2' ",'Shuffled' ,0
'Cosima De Vito - Cost Of Love' ,'Masterplan - Damage Case' ,'Cost Of Love (Cosima)' ,'Cost Of Love - Cosima' ,2
'Damien Rice - Eskimo' ,'Sweet Lady Genevieve (Preservation Act 1)' ,'The Kinks - Sweet Lady Genevieve' ,'004-Sweet Lady Genevieve' ,1
'Without Love (There Is Nothing) (Reloaded: Greatest Hits)' ,'Tom Jones - Without Love (There Is Nothing)' ,'Tom Jones -(There Is Nothing)  Without Love ' ,'Without Love (There Is Nothing)' ,0
"'Aria: Ach, mein Sinn' ",'Summer Breeze (new version)' ,"'Aria: Ach, mein Sinn (Johannes Passion)' ","'013-Aria: Ach, meinn Sinn' ",2
'The Anthem Medley (club mix)' ,'Sonia - The Anthem Medley (club mix)' ,'The Anthem Medley (club mix) - Hopelessly Devoted to You' ,"""Peter Kent - It's a Real Good Feeling"" ",4
'On the Bank' ,'On the Bank (Soul Stomp)' ,'005-Avec le temps' ,'On the Bank (Soul Stomp)' ,3
'Queen - My Fair King' ,'004-Tu poder poder mi' ,'My Fair King - Queen' ,'004-My Fair King' ,2
'Death Approaches' ,'Death Approaches - Room Service' ,'006-Death Approaches' ,'Astronomy Domine' ,4
'Jonny Victory - Under The City' ,'003-Jonny Victory' ,'Hey! Antoinnette' ,'Jonny Victory (Under The City)' ,3
'Jukebox in My Mind' ,'Jukebox in My Mind - The Music of Alabama' ,'Gold & Diamonds' ,'011-Jukebox in My Mind' ,3
'Not Yet' ,'Jackie Leven - Last of the Badmen' ,'Last of the Badmen (Gothic Road)' ,'Last of the Badmen' ,1
